Grupo;Departamento;División;Género;Salario base;Pago de tiempo extra;Grado de estudio
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;539.983.375;103.06;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;604.764.824;2079.74;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;56.997.156;7844.97;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;523.776.689;1949.38;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;510.252.354;855.92;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;52.591.028;5708.94;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;540.623.451;4107.44;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;515.476.404;9244.92;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;492.989.741;569.16;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;436.004.411;4195.08;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;;5788.37;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;688.889.515;7059.41;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;568.841.676;0;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;464.254.721;2092.35;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;691.016.094;5227.31;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75621;11131.12;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;598.810.043;3328.4;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;;0;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;590.067.205;2195.05;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;683.262.786;15420.99;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;446.934.084;1000.49;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;436.004.359;4196.09;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;577.144.705;7570.81;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;49.948.065;281.74;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;;2535.85;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;42.126.025;3154;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;42.126.025;1182.87;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;634.801.621;11486.92;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;42277.68;1472.07;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;42277.68;2052.65;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;52080.82;1791.42;15
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;66572;3148.64;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;69442;2440.69;13
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;86103;1969.09;N18
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;557.305.307;127.73;13
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;F;76668;3226.55;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;545.825.153;8382.14;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;593.941.592;3619.49;13
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;566.627.289;12204.96;13
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;464.688.889;2123.38;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;498.259.489;4502.32;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;93.986.002;25509.32;N20
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;464.686.211;11466.39;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;526.415.788;10848.36;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;526.415.788;5098.25;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;500.390.312;3892.88;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;515.698.582;2546.11;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;464.686.263;3519.93;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;498.263.791;3714.56;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;510.735.768;3262.58;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;464.686.211;632.65;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;45929.49;6845.84;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;466.812.841;1539.66;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;45254.34;1368.58;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;46862.73;2590.35;12
ABS;Alcohol Beverage Services;ABS 85 Beer Loading;M;43724;1330;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;66572;5008.34;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;69442;940.73;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;69442;558.68;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;69442;6732.45;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;66572;7000.21;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;585.711.182;350.88;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;F;56.922.265;6156.95;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;59376.01;2171.54;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;588.777.277;5992.54;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;588.777.277;518.79;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;590.032.323;802.16;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;590.032.162;505.68;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;595.917.086;1688.45;13
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;69.805.575;5951.34;N17
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;529.188.229;5780.52;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;64829.58;6895.97;N18
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;485.756.793;240.87;13
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;166140.03;0;M2
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;857.144.272;0;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;993.350.745;1540.34;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;94.334.247;0;N25
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;65480.48;377.81;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;117424;0;N25
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;75500;0;18
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;77.452.155;0;18
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;98349;0;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;64633;0;16
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;54583;0;18
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;61240;6686.59;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;61240;1211.31;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;;6048.36;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;821.463.286;18658.36;N18
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;75621;285.84;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;756.210.032;7168.3;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;75621;1554.96;15
ABS;Alcohol Beverage Services;ABS 85 Wholesale Operations;M;98228;0;21
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;55148;1472.55;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;49230;2655.45;12
ABS;Alcohol Beverage Services;ABS 85 Beer Warehouse Operations;M;87927;0;N20
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;M;;1182.12;14
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;M;704.524.518;0;N18
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;F;474.479.101;1302.22;12
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;F;582.399.985;536.86;14
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;M;240.476.555;6.3;12
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;M;94.202.595;230.05;N21
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;M;22627.17;932.95;12
ABS;Alcohol Beverage Services;ABS 85 Burtonsville;M;21862;37.55;12
ABS;Alcohol Beverage Services;ABS 85 Cabin John;M;98228;0;N21
ABS;Alcohol Beverage Services;ABS 85 Cabin John;M;72463;137.53;14
ABS;Alcohol Beverage Services;ABS 85 Cabin John;M;668.467.361;10.71;14
ABS;Alcohol Beverage Services;ABS 85 Cabin John;M;;0;N18
ABS;Alcohol Beverage Services;ABS 85 Cabin John;F;459.747.155;1141.78;12
ABS;Alcohol Beverage Services;ABS 85 Cabin John;F;447.546.895;697.57;12
ABS;Alcohol Beverage Services;ABS 85 Cabin John;M;247.795.625;226.32;12
ABS;Alcohol Beverage Services;ABS 85 Cabin John;M;21862;863.98;12
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;M;963.298.444;1034.41;N21
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;F;854.087.344;2287.24;N18
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;F;606.959.736;368.05;14
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;M;;314.28;12
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;F;22627.17;23.52;12
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;F;21862;77.33;12
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;72463;142.59;14
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;848.102.485;1422.37;N21
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;712.071.769;391.52;14
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;68130;88.62;14
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;474.479.116;28.67;12
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;459.747.155;1006.4;12
ABS;Alcohol Beverage Services;ABS 85 Cloverly;F;27.031.164;154.9;12
ABS;Alcohol Beverage Services;ABS 85 Cloverly;M;;125.44;12
ABS;Alcohol Beverage Services;ABS 85 Darnestown;M;72463;509.8;14
ABS;Alcohol Beverage Services;ABS 85 Darnestown;M;903.750.561;0;N21
ABS;Alcohol Beverage Services;ABS 85 Darnestown;M;72463;533.47;14
ABS;Alcohol Beverage Services;ABS 85 Darnestown;M;459.747.317;102.8;12
ABS;Alcohol Beverage Services;ABS 85 Darnestown;F;459.747.155;180.84;12
ABS;Alcohol Beverage Services;ABS 85 Darnestown;F;;1056.16;14
ABS;Alcohol Beverage Services;ABS 85 Darnestown;F;684.735.124;0;N18
ABS;Alcohol Beverage Services;ABS 85 Darnestown;F;21862;0;12
ABS;Alcohol Beverage Services;ABS 85 Director;F;236000;0;EX1
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;F;488.896.586;831.9;12
ABS;Alcohol Beverage Services;ABS 85 Director's Office;M;827.843.253;496.18;18
ABS;Alcohol Beverage Services;ABS 85 Director's Office;F;;717.7;N28
ABS;Alcohol Beverage Services;ABS 85 Director's Office;F;827.803.811;436.44;18
ABS;Alcohol Beverage Services;ABS 85 Director's Office;M;86103;32.94;18
ABS;Alcohol Beverage Services;ABS 85 Director's Office;F;134500;0;N28
ABS;Alcohol Beverage Services;ABS 85 Director's Office;F;85209.83;241.8;N21
ABS;Alcohol Beverage Services;ABS 85 Director's Office;F;86103;471.76;18
ABS;Alcohol Beverage Services;ABS 85 Director's Office;M;40625.8;0;N16
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;72463;361.58;14
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;53257.6;311.09;12
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;72463;24.33;14
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;F;875.324.427;2319.31;N21
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;62.607.646;1290.64;14
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;434.199.874;508.38;12
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;F;577.016.433;1427.09;N18
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;22627.17;8167.94;12
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;21862;0;12
ABS;Alcohol Beverage Services;ABS 85 Downtown Rockville;M;21862;70.32;12
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;F;724.630.002;801.89;14
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;F;33286;550.27;12
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;F;68435.09;1103.48;N18
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;M;628.203.373;1249.39;14
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;M;21862;473.56;12
ABS;Alcohol Beverage Services;ABS 85 Fallsgrove;M;91811.02;263.52;N21
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;M;802.392.046;0;N21
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;F;72463;183.44;14
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;M;788.830.226;131.98;N18
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;M;461.448.795;9562.78;12
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;M;461.448.787;3653.65;12
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;F;22627.17;56.95;12
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;F;98228;0;N21
ABS;Alcohol Beverage Services;ABS 85 Flower Avenue;M;21862;268.41;12
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;827.330.916;962.71;N18
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;F;62.820.332;993.74;14
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;725.592.339;456.28;N21
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;47.082.115;267.56;14
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;524.560.563;2287.77;14
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;240.476.555;486.46;12
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;21864.1;74.37;12
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;F;21862;0;12
ABS;Alcohol Beverage Services;ABS 85 Gaithersburg Square;M;21862;0;12
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;53257.6;113.26;12
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;660.834.184;3066.55;14
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;752.334.096;0;N18
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;63215.25;5331.03;14
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;459.747.317;3165.35;12
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;F;60.908.636;5422.71;14
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;225.513.425;2.85;12
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;19695.5;0;12
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;19695.5;0;12
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;M;92.459.655;1280.88;N21
ABS;Alcohol Beverage Services;ABS 85 Goshen Crossing;F;21862;0;12
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;98228;0;N21
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;861.030.015;583.86;N18
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;646.310.773;1800.35;14
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;F;65240.88;382.3;14
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;439.815.101;0;12
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;F;445.844.143;710.12;12
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;225.513.425;223;12
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;21862;0;12
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;21862;5.68;12
ABS;Alcohol Beverage Services;ABS 85 Hampden Lane;M;21862;109.14;12
ABS;Alcohol Beverage Services;ABS 85 IT Administration;M;152940;0;M3
ABS;Alcohol Beverage Services;ABS 85 IT Administration;F;122842;0;26
ABS;Alcohol Beverage Services;ABS 85 IT Administration;M;89948;5882.75;19
ABS;Alcohol Beverage Services;ABS 85 IT Administration;M;119572;0;N26
ABS;Alcohol Beverage Services;ABS 85 IT Administration;F;130167;0;N28
ABS;Alcohol Beverage Services;ABS 85 IT Administration;F;110150.27;0;26
ABS;Alcohol Beverage Services;ABS 85 IT Administration;M;133713;14078.74;N28
ABS;Alcohol Beverage Services;ABS 85 Kensington;F;776.463.409;81.16;N18
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;955.794.474;840.32;N21
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;240.475.114;311.45;12
ABS;Alcohol Beverage Services;ABS 85 Kensington;F;626.076.301;865.22;14
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;41943.15;359.06;12
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;57.276.881;156.41;14
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;233.406.395;58.08;12
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;233.406.395;178.75;12
ABS;Alcohol Beverage Services;ABS 85 Kensington;M;21862;69.72;12
ABS;Alcohol Beverage Services;ABS 85 King Farm;M;98228;244.39;N21
ABS;Alcohol Beverage Services;ABS 85 King Farm;M;53257.6;469.12;12
ABS;Alcohol Beverage Services;ABS 85 King Farm;M;666.904.462;182.37;14
ABS;Alcohol Beverage Services;ABS 85 King Farm;M;432.498.667;456.4;12
ABS;Alcohol Beverage Services;ABS 85 King Farm;M;240.479.327;2.13;12
ABS;Alcohol Beverage Services;ABS 85 King Farm;M;532.146.496;1094.83;14
ABS;Alcohol Beverage Services;ABS 85 Kingsview;M;98228;0;N21
ABS;Alcohol Beverage Services;ABS 85 Kingsview;F;86103;0;N18
ABS;Alcohol Beverage Services;ABS 85 Kingsview;M;72463;308.82;14
ABS;Alcohol Beverage Services;ABS 85 Kingsview;F;53257.6;906.11;12
ABS;Alcohol Beverage Services;ABS 85 Kingsview;F;459.747.115;528.85;12
ABS;Alcohol Beverage Services;ABS 85 Kingsview;F;62.607.646;172.78;14
ABS;Alcohol Beverage Services;ABS 85 Kingsview;M;419.431.365;915.57;12
ABS;Alcohol Beverage Services;ABS 85 Kingsview;F;21862;164.05;12
ABS;Alcohol Beverage Services;ABS 85 Leisure World;F;72.463.002;4680.01;14
ABS;Alcohol Beverage Services;ABS 85 Leisure World;F;799.351.895;0;N18
ABS;Alcohol Beverage Services;ABS 85 Leisure World;M;98228;0;N21
ABS;Alcohol Beverage Services;ABS 85 Leisure World;F;447.546.895;1577.22;12
ABS;Alcohol Beverage Services;ABS 85 Leisure World;M;565.379.205;32.59;14
ABS;Alcohol Beverage Services;ABS 85 Leisure World;M;233.406.395;590.03;12
ABS;Alcohol Beverage Services;ABS 85 Leisure World;F;21862;89.69;12
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;102682;283.71;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;117424;0;N25
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;102682;0;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;F;102682;889.83;22
ABS;Alcohol Beverage Services;ABS 85 Licensure, Regulation and Education;M;102682;0;22
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;M;48.538.622;1145.52;12
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;M;45974.74;254.32;12
ABS;Alcohol Beverage Services;ABS 85 Clarksburg Village;M;614.991.622;287.07;14
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;69442;1185.86;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;61240;2901.82;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;695.528.833;5999.05;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;710.874.054;1566.1;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;52.591.028;6526.78;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;561.809.023;1324.7;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;489.749.535;3.54;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;462.578.108;2471.47;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;75621;3009.89;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;610.719.557;1098.57;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;449.063.556;704.72;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;37.793.025;178.84;10
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;75621;3714.72;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;579.271.383;8064.98;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;51772.2;1643.79;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;49333;1323.63;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;61500;2947.39;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and Wine Delivery Operations;M;63000;1059.6;15
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;82436;16835.31;N17
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;657.488.722;2661.07;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;66572;778.28;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;66572;3137.14;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;93986;21857.36;N20
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;66572;5333.48;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;66572;11928.75;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;66572;3032.57;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;66572;1958.96;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;569.675.537;12764.91;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;567.548.877;1412.09;13
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;564.930.104;386.9;12
ABS;Alcohol Beverage Services;ABS 85 Liquor and WIne Loading;M;526.415.788;971.42;12
